Event Category,City,Total Events
"Yes, I'm good at spotting fake news",Cheektowaga,17
"Yes, think I could tell if an article was telling the truth",Pittsburgh,17
"Yes, think I could tell if an article was telling the truth",Austin,17
"Yes, think I could tell if an article was telling the truth",Seattle,17
Call them out,Virginia Beach,16
Ignore it,New Haven,16
Ignore it,Fort Wayne,16
Ignore it,Richmond,16
Ignore it,Medford,16
Ignore it,Pearland,16
Ignore it,Appleton,16
"No, I don't I could tell if an article was telling the truth",Salt Lake City,16
"No, I have not heard of fake news",San Diego,16
"No, I'm bad at spotting fake news",Buffalo,16
"No, I'm bad at spotting fake news",Rochester,16
"No, I'm bad at spotting fake news",Memphis,16
"Yes, I believe most news articles are true",Ann Arbor,16
"Yes, I have heard of fake news",Longmont,16
"Yes, I have heard of fake news",Oviedo,16
"Yes, I have heard of fake news",Iowa City,16
"Yes, I have heard of fake news",Coeur d'Alene,16
"Yes, I have heard of fake news",Lewiston,16
"Yes, I have heard of fake news",Cloquet,16
"Yes, I have heard of fake news",Winona,16
"Yes, I have heard of fake news",Parsippany-Troy Hills,16
"Yes, I have heard of fake news",Troy,16
"Yes, I have heard of fake news",Findlay,16
"Yes, I have heard of fake news",Lawton,16
"Yes, I have heard of fake news",Tulsa,16
"Yes, I have heard of fake news",Carlisle,16
"Yes, I have heard of fake news",Dallas,16
"Yes, I have heard of fake news",Lititz,16
"Yes, I have heard of fake news",Reading,16
"Yes, I have heard of fake news",Aberdeen,16
"Yes, I have heard of fake news",Fort Worth,16
"Yes, I have heard of fake news",Oak Harbor,16
"Yes, I'm good at spotting fake news",Rockford,16
"Yes, I'm good at spotting fake news",Richmond,16
"Yes, I'm good at spotting fake news",Springfield,16
"Yes, I'm good at spotting fake news",Mooresville,16
"Yes, I'm good at spotting fake news",Jersey City,16
"Yes, I'm good at spotting fake news",Newark,16
"Yes, I'm good at spotting fake news",Utica,16
"Yes, I'm good at spotting fake news",Lacey,16
